Activity Name,Description,Type,Interest,State,Grade
"Underblong Poetry Journal Submission","Underblong is a unique poetry journal that invites submissions of poems that delve into the unfinished, unresolved, and deeply personal. It's a platform for sharing poetry that cuts through superficiality, offering a space for works that are raw and soulful. Contributors can submit unpublished poetry and cover art through Google Forms, with all submissions being free. Underblong offers a modest honorarium of $20 for each contributor and promises to promote their work enthusiastically. The journal emphasizes a safe and inclusive environment, strictly prohibiting any form of discrimination or literary misconduct. This opportunity is open to high school students of all grades looking to express themselves and engage with a community of like-minded individuals.","Free; Year Round; Activity","English Literature Writing","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Buddy Up for Life","Buddy Up for Life is a nonprofit organization offering a variety of programs for individuals with Down syndrome, including tennis, fitness, pickleball, summer camp, and life skills courses such as communication, cooking, finance, technology, and community involvement. These programs are designed to promote health, wellness, independence, and social connections. The organization operates in multiple states across the U.S. and provides opportunities for both athletes (individuals with Down syndrome) and volunteers ('Buddies') to engage in meaningful activities and develop friendships. Buddy Up for Life emphasizes the empowerment of individuals with Down syndrome to lead fulfilling lives.","Cost Money; Year Round; Summer; Activity; Volunteering","Psychology; Kinesiology; Medical","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"LINC Summer High School Program","The LINC Summer High School Program, offered by the Golden Gate National Parks Conservancy, is a six-week summer program designed for high school students interested in environmental science and community service. Participants engage in various outdoor activities, including service projects like trail work and habitat restoration, professional development workshops, and team-building exercises. The program runs from June 18 to August 2, 2024, and includes opportunities for wildlife observation, overnight camping trips, and learning about local, state, and national parks. Upon completion, participants receive up to a $2,400 education award. The program is free and aims to connect students to their natural community while fostering leadership and professional skills.","Free; Summer; Activity; Volunteering","Environmental Science; Biology","California","Freshmen; Juniors; Seniors; Sophomores"
"High School Program in Biomedical Research - The Wistar Institute","The Wistar Institute's High School Program in Biomedical Research offers a four-week immersive internship for high school students interested in biomedical research. Participants will learn laboratory techniques, contribute to Wistar science projects, read scientific literature, explore careers in biomedical research, and present their work. The program supports 15 students, especially encouraging those from underserved or underrepresented backgrounds. It runs from July 15 to August 8, 2024, Monday through Thursday, 9:00 am to 4:00 pm. Students receive SEPTA passes for travel and a $1,000 stipend upon successful completion. No prior research experience is necessary.","Summer; Research; Internship; Free","Medical; Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"OGPC Season 17","OGPC Season 17 is a competition that invites teams to explore the theme of 'Cycles' through game development. Participants are encouraged to creatively interpret the theme in gameplay, story, art, and sound. The main event is scheduled for May 18th at Western Oregon University. Teams must demonstrate they have enough members and have begun planning a project to register. The competition includes specific achievements judges will look for, and there's a maximum of 5 teams per school/organization/coach. This competition offers an excellent opportunity for students interested in engineering and computer science to apply their skills in a creative and competitive environment.","Cost Money; Activity; Competition; Year Round","Engineering; Computer Science","Oregon","Freshmen; Juniors; Seniors; Sophomores"
"Junior Science and Humanities Symposium","The Junior Science and Humanities Symposium (JSHS) is a prestigious STEM competition for high school students, sponsored by the Department of Defense and administered by the National Science Teaching Association. It challenges students to perform original research, present their findings, and compete for scholarships and opportunities. The program promotes diversity of thought and encourages learning that can be applied to regular studies and real life. Participants have the chance to engage in a professional science and engineering symposium, exposing them to a wide range of STEM fields including mathematics, data science, environmental science, physics, engineering, computer science, medical, biology, and chemistry.","Free; Research; Competition; Year Round","Mathematics; Data Science; Environmental Science; Physics; Engineering; Computer Science; Medical; Biology; Chemistry","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"USACO (USA Computing Olympiad)","The USA Computing Olympiad (USACO) is a prestigious programming competition for high school students in the United States and around the world. It offers a series of online contests throughout the academic year, culminating in the US Open Contest. Top performers are invited to a summer training camp, with the chance to represent the USA at the International Olympiad in Informatics (IOI) and the European Girls Olympiad in Informatics (EGOI). The USACO provides extensive training resources online to help students improve their programming and problem-solving skills. Participation in USACO is an excellent way for students interested in mathematics, data science, engineering, and computer science to challenge themselves and gain recognition.","Free; Year Round; Summer; Competition","Mathematics; Data Science; Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"TEAMS Competition","The TEAMS (Tests of Engineering Aptitude, Mathematics, and Science) competition is an annual event that challenges middle and high school students to apply their STEM knowledge to solve real-world engineering problems. Organized by the Technology Student Association (TSA), the competition is open to teams of two to four students who do not need to be TSA members to participate, although TSA members receive a registration discount. TEAMS has been fostering STEM engagement among students for over 30 years, providing a platform for them to connect classroom learning with practical, creative problem-solving.","Cost Money; Year Round; Activity; Competition","Mathematics; Engineering","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"IALR Summer Internships","The Institute for Advanced Learning and Research (IALR) offers a summer internship program providing on-the-job training in various fields such as research and data analysis, public relations, human resources, AgTech research, coding and robotics, information technology, and more. This eight-week paid internship requires a commitment of 28 hours per week and includes a stipend. The program is designed for recent high school graduates planning to attend college, current college students, and recent college graduates. It offers real-world leadership development experiences and professional growth opportunities in a diverse range of career fields.","Summer; Research; Internship; Free","Business; Data Science; Engineering; Computer Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Seniors"
"Crisis Connections Volunteer Program","Crisis Connections offers a volunteer program based in Seattle, WA, aimed at providing emotional connection, crisis intervention, peer support, and more to those in need. Volunteers undergo immersive training and field phone calls with oversight from staff. Specific opportunities include the 24-Hour Crisis Line (21+), WA Warm Line (peer support with lived experience), Teen Link (peer emotional support for teens), and Support After Suicide (mentorship and support for suicide loss survivors). The program emphasizes active listening, emotional de-escalation, and crisis intervention skills. While the Crisis Line requires volunteers to be 21, the Teen Link program offers opportunities for high school students to get involved.","Free; Year Round; Volunteering","Psychology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"HS Insider 2023 Summer Internship","The HS Insider 2023 Summer Internship offers high school students, including graduating seniors, an opportunity to experience life as a professional journalist within the L.A. Times High School Insider youth journalism program. This six-week, paid internship ($16 per hour) runs from June 26 to August 4, 2023, for 30 hours a week, Monday through Friday, from 9 a.m. to 4 p.m. Interns will cover breaking news, craft feature stories, and experiment in multimedia storytelling, supported by mentors and workshops from an award-winning newsroom. The program is hybrid, with most work done remotely and some in-person opportunities for those in Los Angeles, while students outside Los Angeles will be fully remote.","Summer; Internship; Free","English Literature Writing","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"MathCON","MathCON is a competitive mathematics platform designed to enhance mathematics education for students in grades 4-12 across all 50 states and Canada. Founded in 2008 and based in Illinois, MathCON has grown to involve over 280,000 students from 3,000 schools. The program includes a competition series and educational resources, aiming to build a collaborative mathematics community among students and educators. It supports STEM education and aims to develop the problem-solving skills of the 21st-century generation. The MathCON finals for 2024 are scheduled for May 11, with registration opening on March 14 and closing on March 31, 2024.","Cost Money; Competition; Year Round","Mathematics","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Georgetown University Entrepreneurship Academy","The Georgetown University Entrepreneurship Academy is a two-week summer program designed for high school students interested in entrepreneurship. Participants will explore the process of starting a business, including prototype testing, market research, and operations management. The program features guest speakers from various industries, hands-on activities, and a final pitch competition. Students will also develop public speaking, networking, and team-building skills. The program runs in June 2024, with tuition covering classes, housing, and meals. Participants receive a Certificate of Participation upon completion.","Cost Money; Summer; Activity; Competition","Business","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Volunteer with Food Lifeline","Food Lifeline offers volunteer opportunities to support communities impacted by the Covid-19 pandemic in Western Washington. Volunteers help in the warehouse to sort and repack nutritious food for distribution to local food banks, shelters, and meal programs. Volunteer sessions are available Mondays through Saturdays for individuals, groups, and corporate teams, welcoming volunteers ages 10 and above. The experience is described as easy, fun, and impactful, making a significant difference in just a few hours. This opportunity is a great way for high school students to contribute to their community while learning about food security and logistics.","Free; Year Round; Volunteering","General","Washington","Freshmen; Juniors; Seniors; Sophomores"
"Volunteer Opportunities - Kindering","Kindering offers a variety of volunteer opportunities for those interested in supporting children with diverse abilities and their families. Volunteers play a crucial role in fulfilling Kindering's mission by participating in activities such as event support, classroom assistance, administrative tasks, and special projects. Opportunities include auction event volunteering, KidVantage program support, classroom support, mailing assistance, and campus cleaning. These roles require different levels of commitment and offer a chance to contribute to a supportive community while gaining valuable experience in pediatric therapy and early learning environments.","Free; Year Round; Volunteering","Medical","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"OxBright Online Law Internships","OxBright offers online Law internships for high school students aged 15-18, aiming to provide real-world legal experience. These internships come in two formats: Research and Work Experience. In the Research Internship, students collaborate with a mentor to research a legal topic and co-author a paper for academic publication. The Work Experience Internship involves completing a project for a legal professional, offering hands-on experience in the field. Both internships are designed to enhance students' understanding of law, aid in law school applications, and include mentorship from legal experts. The program runs for one month with live sessions on weekends and costs £995.","Cost Money; Summer; Research; Internship","Law","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors; Sophomores"
"NFTE World Series of Innovation","The NFTE World Series of Innovation invites young individuals to address some of the most significant challenges facing humanity today, aligning with the UN Sustainable Development Goals. Participants can choose from various challenges across multiple fields, including environmental science, business, data science, and health, to submit their innovative solutions. Winners in each category receive cash prizes. This competition encourages entrepreneurial thinking and problem-solving skills, offering a platform for students to contribute to global issues creatively.","Free; Competition; Year Round","Business; Data Science; Environmental Science; Computer Science; Medical; Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Tilth Alliance Volunteer Program","The Tilth Alliance Volunteer Program offers a variety of opportunities for individuals to get involved in environmental stewardship and community service. Volunteers can participate in activities such as gardening, farming, wetland and forest care, increasing food access, and supporting community meals and nutrition programs. The program is designed to teach new skills, foster community connections, and support Tilth Alliance’s mission to build a better food future. Volunteer opportunities are available year-round, with most being one-time commitments of 2-4 hours. No prior experience is necessary, and all necessary tools and training are provided.","Free; Year Round; Activity; Volunteering","Environmental Science; Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"KWH Summer Workshop for Young Writers","The KWH Summer Workshop for Young Writers at the Kelly Writers House is a ten-day program designed for rising high school juniors and seniors interested in developing their writing skills. Held at the University of Pennsylvania, the workshop includes personal essay writing sessions, craft sessions in various genres, and opportunities for creative collaboration. The program aims to foster a supportive community where students can explore their creativity, critique each other's work, and engage with a range of literary forms. The workshop runs from July 7-17, 2024, and has a program fee of $2,750, with financial assistance available to those who qualify.","Cost Money; Summer; Activity","English Literature Writing","Pennsylvania","Juniors; Seniors"
"Blue Ocean Student Entrepreneur Competition","The Blue Ocean Student Entrepreneur Competition is a prestigious virtual pitch competition for high school students globally. It encourages participants to create innovative business concepts that address unsolved problems or untapped markets, using the Blue Ocean Strategy methodology. The competition is open to individual students or teams, who submit their ideas through a 5-minute video pitch. Winners receive cash prizes and recognition, and the competition provides a platform for students to gain real entrepreneurial experience, develop essential skills, and potentially make their college applications stand out. The competition is open to high school students of all grade levels.","Free; Competition; Year Round","Business","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Project LEAD - United Way of King County","Project LEAD, offered by United Way of King County, is a nonprofit board training program designed for skilled, passionate, and equity-centered Black, Indigenous, and other people of color. The program aims to improve racial equity in community leadership by preparing participants for nonprofit board service. The month-long intensive training covers topics such as fiscal management, strategic fundraising with a racial equity lens, and equity leadership. Graduates have the opportunity to connect with nonprofit organizations seeking new board members. Project LEAD is a testament to the community's commitment to service and diversity, having over 1,200 graduates.","Free; Activity; Volunteering; Year Round","Public Administration; Law","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"MarinHealth Medical Center Volunteer Program","MarinHealth Medical Center offers a volunteer program for high school students aged 16 and over, focusing on providing medical field experience. The program, known as S.M.I.L.E. Cart, is highly competitive and requires a minimum 1-year commitment. Volunteers are assigned permanent 2-hour shifts per week, where they can gain experience in various in-patient care departments such as Ambulatory Surgery, Cardiac Care, Emergency Care, Intensive Care, and more. The program is designed for students seriously considering a career in the medical field and emphasizes reliability, commitment, personal accountability, and communication skills. Applications are best submitted between January and March each year.","Free; Year Round; Volunteering","Medical","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Juniors; Seniors; Sophomores"
"DoSomething.org","DoSomething.org is a dynamic platform that empowers young people to initiate social change through volunteering and activism. It offers a wide range of campaigns and projects focused on various social issues, including environmental conservation, public administration, and political science. The organization encourages high school students of all grades to participate in its activities, providing them with opportunities to make a positive impact on their communities and the world. Participation in DoSomething.org is free, making it accessible to students from all backgrounds. It operates year-round, allowing students to engage in meaningful actions at any time.","Free; Year Round; Activity; Volunteering","Environmental Science; Public Administration; Political Science","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"National Ocean Sciences Bowl","The National Ocean Sciences Bowl (NOSB) is an academic competition designed to introduce high school students to ocean science and related STEM careers. It aims to fill a gap in environmental and earth sciences education by engaging students in ocean science, preparing them for ocean science-related careers, and promoting environmental stewardship. The competition involves regional events across the U.S., with approximately 2,000 students from 350 schools and 1,500 volunteers participating annually. While there will be no National Finals Competition in 2024, regional competitions will still take place, either virtually or in-person. The NOSB offers a unique opportunity for students to deepen their understanding of oceanography and marine science.","Free; Activity; Competition; Volunteering; Year Round","Environmental Science; Biology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Celebrate The West Art Competition","Celebrate The West is a regional art competition hosted by the Western Governors' Association, designed for high school students to create artworks inspired by their state. The competition is open to students from all grade levels and encourages them to explore and express their creativity through art. Winners from each state are recognized, and their artwork is showcased. The competition provides a platform for young artists to gain recognition and encourages them to engage with their cultural and regional heritage.","Free; Activity; Competition; Year Round","Arts Performance","Alaska; Arizona; California; Colorado; Hawaii; Idaho; Kansas; Montana; Nevada; New Mexico; North Dakota; Oklahoma; Oregon; South Dakota; Utah; Washington; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"NASA Human Exploration Rover Challenge","The NASA Human Exploration Rover Challenge (HERC) is an annual competition that invites high school and college students from around the world to design, build, and test human-powered rovers. The challenge is hosted at the U.S. Space & Rocket Center in Huntsville, Alabama, and is scheduled for April 19-20, 2024. Teams compete by navigating their rovers through a course that simulates the terrain of other planets. This competition encourages research and development of new technologies for future missions and crewed space missions to other worlds. It's an excellent opportunity for students interested in physics, engineering, and space exploration to apply their skills in a practical, hands-on environment.","Activity; Competition; Free; Year Round","Physics; Engineering","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Research Technician Fellowship - The Morton Arboretum","The Research Technician Fellowship at The Morton Arboretum offers high school juniors and seniors the opportunity to engage in scientific research and tree science. This introductory internship is designed for students with little or no experience, providing them with a chance to be mentored by scientists and explore careers related to climate change, biodiversity, natural resources management, and urban life. The program includes laboratory, computer, and outdoor field opportunities, focusing on projects such as new plant development and translational genomics. It aims to foster an inclusive environment, encouraging applications from diverse backgrounds and those with limited research opportunities.","Free; Summer; Research; Internship","Environmental Science; Biology; Chemistry","Illinois","Juniors; Seniors"
"Best Buddies International - U.S. Programs","Best Buddies International offers a variety of programs across the United States aimed at building friendships, developing leadership skills, and promoting inclusive living for individuals with intellectual and developmental disabilities. The organization operates in all 50 states, providing opportunities for high school students to engage in volunteering activities that foster meaningful connections and support the mission of inclusion. Programs include Friendship, Jobs, Leadership Development, and Inclusive Living, with availability varying by region. This initiative not only benefits individuals with disabilities but also enriches the lives of volunteers through the power of friendship and community engagement.","Free; Year Round; Activity; Volunteering","Psychology","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
"Omnidawn Poetry Contests","Omnidawn offers a series of poetry contests throughout the year, catering to poets seeking to showcase their work. The contests include the 1st/2nd Book Contest, Single Poem Broadside Contest, Chapbook Contest, and the Open Book Contest, each held during specific months. Although the Fabulist Fiction Novelette/Chapbook Contest is not available in 2023, it may return in 2024. These contests provide a platform for poets to gain recognition and potentially publish their work. Participants are encouraged to submit their entries via Submittable, as Omnidawn no longer accepts unsolicited electronic or paper manuscripts.","Free; Year Round; Competition","English Literature Writing","Alabama; Alaska; Arizona; Arkansas; California; Colorado; Connecticut; Delaware; Florida; Georgia; Hawaii; Idaho; Illinois; Indiana; Iowa; Kansas; Kentucky; Louisiana; Maine; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Missouri; Montana; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; North Dakota; Ohio; Oklahoma; Oregon; Pennsylvania; Rhode Island; South Carolina; South Dakota; Tennessee; Texas; Utah; Vermont; Virginia; Washington; West Virginia; Wisconsin; Wyoming","Freshmen; Juniors; Seniors; Sophomores"
